r,u
2.700000 ,0.151752 
2.800000 ,0.104998 
2.900000 ,0.072648 
3.000000 ,0.050266 
3.100000 ,0.034779 
3.200000 ,0.024064 
3.300000 ,0.016650 
3.400000 ,0.011520 
3.500000 ,0.007971 
3.600000 ,0.005515 
3.700000 ,0.003816 
3.800000 ,0.002640 
3.900000 ,0.001827 
4.000000 ,0.001264 
4.100000 ,0.000875 
4.200000 ,0.000605 
4.300000 ,0.000419 
4.400000 ,0.000290 
4.500000 ,0.000200 
4.600000 ,0.000139 
4.700000 ,0.000096 
4.800000 ,0.000066 
4.900000 ,0.000046 
5.000000 ,0.000032 
5.100000 ,0.000022 
5.200000 ,0.000015 
5.300000 ,0.000011 
5.400000 ,0.000007 
5.500000 ,0.000005 
5.600000 ,0.000003 
5.700000 ,0.000002 
5.800000 ,0.000002 
5.900000 ,0.000001 
6.000000 ,0.000001 
6.100000 ,0.000001 
6.200000 ,0.000000 
6.300000 ,0.000000 
6.400000 ,0.000000 
6.500000 ,0.000000 
6.600000 ,0.000000 
6.700000 ,0.000000 
6.800000 ,0.000000 
6.900000 ,0.000000 
7.000000 ,0.000000 
7.100000 ,0.000000 
7.200000 ,0.000000 
7.300000 ,0.000000 
7.400000 ,0.000000 
7.500000 ,0.000000 
7.600000 ,0.000000 
7.700000 ,0.000000 
7.800000 ,0.000000 
7.900000 ,0.000000 
8.000000 ,0.000000 
