r,u
2.000000 ,2.308283 
2.100000 ,1.334611 
2.200000 ,0.757968 
2.300000 ,0.418855 
2.400000 ,0.221361 
2.500000 ,0.107927 
2.600000 ,0.044092 
2.700000 ,0.009286 
2.800000 ,-0.008720 
2.900000 ,-0.017158 
3.000000 ,-0.020278 
3.100000 ,-0.020552 
3.200000 ,-0.019400 
3.300000 ,-0.017621 
3.400000 ,-0.015651 
3.500000 ,-0.013720 
3.600000 ,-0.011935 
3.700000 ,-0.010341 
3.800000 ,-0.008943 
3.900000 ,-0.007734 
4.000000 ,-0.006693 
4.100000 ,-0.005802 
4.200000 ,-0.005040 
4.300000 ,-0.004387 
4.400000 ,-0.003829 
4.500000 ,-0.003350 
4.600000 ,-0.002939 
4.700000 ,-0.002585 
4.800000 ,-0.002279 
4.900000 ,-0.002014 
5.000000 ,-0.001785 
5.100000 ,-0.001585 
5.200000 ,-0.001411 
5.300000 ,-0.001259 
5.400000 ,-0.001125 
5.500000 ,-0.001008 
5.600000 ,-0.000905 
5.700000 ,-0.000813 
5.800000 ,-0.000733 
5.900000 ,-0.000661 
6.000000 ,-0.000598 
6.100000 ,-0.000542 
6.200000 ,-0.000491 
6.300000 ,-0.000446 
6.400000 ,-0.000406 
6.500000 ,-0.000370 
6.600000 ,-0.000338 
6.700000 ,-0.000308 
6.800000 ,-0.000282 
6.900000 ,-0.000259 
7.000000 ,-0.000237 
7.100000 ,-0.000218 
7.200000 ,-0.000200 
7.300000 ,-0.000184 
7.400000 ,-0.000170 
7.500000 ,-0.000157 
7.600000 ,-0.000145 
7.700000 ,-0.000134 
7.800000 ,-0.000124 
7.900000 ,-0.000115 
8.000000 ,-0.000106 
